170 404 301 145
302 404 500 314
302 237 500 145
302 313 389 294
423 312 519 294
423 257 519 239
424 144 520 126
424  89 520  72
 46  72 519   0
556 511 639 496
577 349 639 338
577 418 578 350
620 405 639 349
595 427 619 404
609 473 639 428
577 473 601 440
557 316 629 230
621 209 639 191
608 188 625 170
625 169 639 160
576  97 609  86
610 101 639  34
611  10 628   0
628  20 639  10
  0 111  22   0
 22  96  49  87
127 189 169 145
 22 156  43 150
 44 146 127 145
 44 170  55 148
 94 165 108 164
109 209 110 164
111 209 152 208
 30 208  79 201
 23 249  30 201
  0 269   4 112
 59 296 169 267
  0 512  58 267
146 300 169 296
 62 330  80 313
 64 406  82 389
 66 469  82 452
 59 512 509 480
186 469 497 460
 62  91 401  82
602 473 608 445
602  85 608  67
576  41 609  39
999
