WoodenStaff 5 0 0 100 0
Bandages 0 0 5 20 4
Suit&Tie 0 3 0 70 1
BaqDisk 0 0 0 300 5
OakStaff 6 0 0 150 0
AluminumStaff 10 0 0 200 0
WhiteGloves 0 1 0 60 2
PlexiSteelStaff 25 0 0 1500 0
SteelStaff 16 0 0 500 0
LeatherJacket 0 8 0 300 1
BaseballHat 0 1 0 35 3
MedKit 0 0 200 1000 4
JudyBaq 0 0 0 0 5
FTPSoftware 0 0 0 0 5
GovernmentID 0 0 0 0 5
MailPackage 0 0 0 0 5
ResultsOfAnalysis 0 0 0 0 5
ZeewarLevel1Pass 0 0 0 0 5
Pizza 0 0 10 100 4
StealingProof 0 0 0 0 5
ZeewarLevel2Pass 0 0 0 0 5
ZeewarLevel3Pass 0 0 0 0 5
ZeewarLevel4Pass 0 0 0 0 5
Water 0 0 0 0 5
CreditCard 0 0 0 0 5
