239 311 325 239
245 210 260 202
274 210 289 202
303 210 318 202
171 447 204 368
205 447 216 401
217 447 240 387
241 447 294 412
295 447 306 371
227 370 304 368
361 511 459 287
361 252 459   0
 84 291  89 172
 84 153  89  71
108 291 176 275
163 274 176 186
 90 254 144 248
136 247 144 208
109 227 117  99
118 185 176 178
118 106 129  99
135 158 153 126
170 185 176  71
 90  78 146  71
147 125 153  71
  0 371  95 368
 92 448  95 368
 19 511  24 490
239 164 360 162
239 164 241  38
243  49 265  43
243  49 252  39
245  36 248  20
245  19 251  17
302 145 305 102
258 105 305 102
258 105 261  88
298  70 301  19
298  23 343  19
243 160 284 122
  0 371   3   1
455 510 639 486
622 492 627 363
480 469 483 424
480 427 531 424
563 431 607 428
563 431 566 384
549 387 566 384
583 411 622 368
622 492 632 363
614 364 640   0
455   3 619   0
478 377 480 371
481 374 497 371
504 391 510 369
500 378 510 369
499 366 626 363
496 328 506 295
525 328 554 324
549 328 554 295
496 296 554 229
496 228 499 159
544 228 554 187
528 191 554 187
551 186 554 133
496 133 500  62
512 108 554  62
496  65 554  62
999
