736,400,1,20
12,243
35,243
12,264
35,264
29
17
54,55,68,357
54,43,681,55
573,55,681,174
108,154,517,168
223,119,290,154
343,55,472,101
213,0,351,43
586,222,736,234
68,220,518,234
481,234,518,282
518,271,537,288
518,288,626,313
626,288,662,358
415,338,491,400
427,306,466,338
356,234,372,351
112,300,313,400
0
0
2
184,0,209,43
636,174,663,222
2
586,174,611,222
135,0,159,43
0
0
2
171,0,184,43
623,174,636,222
2
611,174,623,222
159,0,171,43
0,206,54,226
3
681,146,736,174
68,148,107,178
372,306,427,327
1
178,374
33
14,42,0
52,21,1
681,19,0
714,42,1
719,171,0
689,205,2
110,194,0
82,162,1
108,113,0
290,83,0
333,130,0
517,131,0
554,156,1
558,234,0
579,268,1
660,266,0
706,290,0
722,352,0
662,390,0
544,374,0
491,310,0
445,268,0
399,303,1
395,352,0
364,387,0
332,352,1
332,300,0
312,264,0
112,266,0
91,300,1
88,356,0
60,392,0
25,359,1
