656,464,1,20
21,136
43,136
21,156
43,156
21
16
58,46,134,235
124,238,463,265
134,46,388,125
238,0,357,10
227,168,464,196
451,0,465,168
547,60,572,86
547,103,572,176
536,167,547,193
540,241,656,326
451,265,463,416
536,387,551,414
551,406,656,464
196,384,451,416
223,308,400,343
0,316,136,464
0
0
0
0
0
0
0
0
0,97,58,128
4
288,125,316,168
572,103,656,132
136,384,196,416
400,308,451,342
3
455,166
455,240
455,387
27
21,44,0
57,15,2
234,32,0
389,20,0
418,47,0
415,126,0
387,150,0
227,145,0
175,179,1
227,219,1
462,220,0
566,220,0
612,174,0
610,58,0
559,16,0
502,58,0
501,287,0
497,414,0
464,445,0
198,444,0
152,399,0
205,359,1
394,369,0
433,325,1
397,280,1
66,292,0
22,257,0

