   featu    tile   otile    flip      fx      fy    drag   drive     act   level   colli     hit   bonus
                              xy   *1000   *1000   *1000   *1000
       0      72      72      00       0       0      20      50       0       0       0       0       0   plaintrack
       1      73      72      10       0    1000     500       0       5       2       1       3       0   bottom edge
       2      73      72      11       0   -1000     500       0       5       2       1       3       0   top edge
       3      75      72      10    1000       0     500       0       5       2       1       3       0   right edge
       4      75      72      12   -1000       0     500       0       5       2       1       3       0   left edge
       5      77      72      10    1000    1000     500       0       2       2       1       3       0   top right corner
       6      77      72      12    1000    1000     500       0       2       2       1       3       0   top left corner
       7      77      72      13    1000    1000     500       0       2       2       1       3       0   bottom left corner
       8      77      72      11    1000    1000     500       0       2       2       1       3       0   bottom right corner
       9      81      72      10    1000    1000     500       0       2       2       1       4       0   full stop
      10      82      72      04       0       0      50      20       0       0       0       0       0   rough
      11      83      72      14       0       0     100      20       0       0      10       0       0   sticky bit
      12      84      72      00       0       0      20      50       0       0       0       0       0   helipad
      13      85      72      10       0     -20      20      50       1       0       0       0       0   ramp high bottom
      14      85      72      11       0      20      20      50       1       0       0       0       0   ramp high top
      15      87      72      10      20       0      20      50       1       0       0       0       0   ramp high left
      16      87      72      12     -20       0      20      50       1       0       0       0       0   ramp high right
      17      89      72      00    1000    1000     500       0       2       2       1       3       0   top right in corner
      18      89      72      02    1000    1000     500       0       2       2       1       3       0   top left in corner
      19      89      72      03    1000    1000     500       0       2       2       1       3       0   bottom left in corner
      20      89      72      01    1000    1000     500       0       2       2       1       3       0   bottom right in corner
      21      93      72      00    1000    1000     100       0      16       2       1       4       0   death mine
      22      94      72      00       0       0       5       5       0       0       0       0       0   slippery floor
      23     102      72      00     100       0      20       5       1       0       0       0       0   one way right
      24     103      72      00       0     100      20       5       1       0       0       0       0   one way down
      25     104      72      00    -100       0      20       5       1       0       0       0       0   one way left
      26     105      72      00       0    -100      20       5       1       0       0       0       0   one way up
      27      72     110      00       0       0      20      50       0       1       0       0       0   vertical pipe
      28      72     111      00       0       0      20      50       0       1       0       0       0   horizontal pipe
      29      72     112      00       0       0      20      50       0       1       0       0       0   roof vertical
      30      72     113      00       0       0      20      50       0       1       0       0       0   roof horizontal
      31      72     114      00       0       0      20      50       4       1       0       0       0   bridge vertical
      32      72     115      00       0       0      20      50       3       1       0       0       0   bridge horizontal
      33     108      72      00       0       0      20      50       0       5       1       0       0   bridge support vertical
      34     109      72      00       0       0      20      50       0       5       1       0       0   bridge support horizontal
      35      95      96      00    1000    1000     500       0       2       3       1       9    1000   reactor
      36      97     100      00       0       0      20      50       0       4      15       0      10   time bonus
      37      98     100      00       0       0      20      50       0       6      15       0      25   plasma bonus
      38      99     100      00       0       0      20      50       0       7      15       0       0   boost bonus
      39     101      72      00    1000    1000     500       0       2       2       1       4       0   baddy post
      40     106     107      00       0       0      20      50       0       0       0       4       0   alarm door
      41      82     114      00       0       0      50      20       4       1       0       0       0   bridge vertical on rough
      42      82     115      00       0       0      50      20       3       1       0       0       0   bridge horizontal on rough
      43      94     114      00       0       0       5       5       4       1       0       0       0   bridge vertical on slippery floor
      44      94     115      00       0       0       5       5       3       1       0       0       0   bridge horizontal on slippery floor
      45      81      72      10    1000    1000     500       0       2       8       1       8       0   time under full stop
      46      81      72      10    1000    1000     500       0       2       8       1       8       0   plasma under stop
      47      81      72      10    1000    1000     500       0       2       8       1       8       0   boost under stop
      48      72      72      00       0       0      15      60       0       0       0       0       0   fast trak
      49      81      72      10    1000    1000     500       0       2       2       1       4       0   reversor
      50      74      72      10    1000    1000     500       0       6       2       1       3       0   angle stop bl
      51      74      72      11    1000    1000     500       0       7       2       1       3       0   angle stop tl
      52      74      72      13    1000    1000     500       0       8       2       1       3       0   angle stop tr
      53      74      72      12    1000    1000     500       0       9       2       1       3       0   angle stop br
      54      78      72      10    1000    1000     500       0       6       2       1       3       0   angle wall bl
      55      78      72      11    1000    1000     500       0       7       2       1       3       0   angle wall tl
      56      78      72      13    1000    1000     500       0       8       2       1       3       0   angle wall tr
      57      78      72      12    1000    1000     500       0       9       2       1       3       0   angle wall br
      58      79      72      10    1000    1000     500       0      10       2       1       3       0   circle br
      59      79      72      11    1000    1000     500       0      11       2       1       3       0   circle tr
      60      79      72      12    1000    1000     500       0      12       2       1       3       0   circle bl
      61      79      72      13    1000    1000     500       0      13       2       1       3       0   circle tl
      62      80      72      10    1000    1000     500       0      10       2       1       3       0   round corner br
      63      80      72      11    1000    1000     500       0      11       2       1       3       0   round corner tr
      64      80      72      12    1000    1000     500       0      12       2       1       3       0   round corner bl
      65      80      72      13    1000    1000     500       0      13       2       1       3       0   round corner tl
      66      86      72      00    1000    1000     500       0       2       2       1       3       0   diag corner tr
      67      86      72      02    1000    1000     500       0       2       2       1       3       0   diag corner tl
      68      86      72      03    1000    1000     500       0       2       2       1       3       0   diag corner bl
      69      86      72      01    1000    1000     500       0       2       2       1       3       0   diag corner br
      70      81      72      10    1000    1000     500       0      14       2       1       4       0   stop top bottom
      71      81      72      10    1000    1000     500       0      15       2       1       4       0   stop left right
      72      88      72      00    1000    1000     500       0      16       2       1       4       0   circle stop
      73      90      91      10       0    1000     500       0      17       2       1       4       0   security door horizontal
      74      90      91      15    1000       0     500       0      18       2       1       4       0   security door vertical
      75      92     100      00       0       0      20      50       0       9      10       0      75   rebound bonus
  
  
     
  
 





 
 
  



