0 0 25 25
83 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 51  0  0  0  0  0  0  0  0  0

99 99 99 99 99 99 99 99 90 28 99 99 99 99 99 99 99 51  0  0  0  0  0  0  0  0

99 99  0  0  0  0  0 100 0  8  0  0  0  0  0 99 99 99 51  0  0  0  0  0  0  0

99 99  0 60  0  0  0 100 0  8  0  0 61  0  0 99 99 99 99 51  0  0  0  0  0  0

99 99  0  0  0  0  0 100 0  8  0  0  0  0  0 99 99 99 99 99 51  0  0  0  0  0

99 99  0  0  0 99 99 99 99 28 99  0  0  0  0 99 99 99 99 99 99 51  0  0  0  0

99 21  1  1  1 21 85  0  0 86 99  0  0  0  0 99 99 99 99 99 99 99 51  0  0  0

99 99  0  0  0 99  0 83 82  0 99  0  0  0  0 99 99 99 99 99 99 99 99 51  0  0

99 99  0  0  0 99  0 81 80  0 99  0  0  0  0 99 99 99 99 99 99 99 99 99 51  0

99 99  0  0  0 99 87  0  0 84 27  7  7  7  7 27 99 99 99 99 99 99 99 99 99 51

99 99  0  0  0 99 22 99 99 99 99  0  0 62  0 99 23 99 99 99 99 99 99 99 99 99

99 99  0  0  0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0 99 99

99 99  0  0  0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0 99 99

99 99  0 63  0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0 99 99

99 99  0  0  0  0  2  0  0  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0 99 99

99 99 99 99 99 99 22 99 99 99 99  0  0  0  0 99 23 99 99 99 99  0  0  0 99 99

52 99 99 99 99 99 99 99 99 99 99  0  0  0  0 99 85  0  0 86 24  4  4  4 24 99

 0 52 99 99 99 99 99 99 99 99 99  0  0  0  0 99  0 83 82  0 99  0  0  0 99 99

