0001      42  35  33  45  25  22     14 24
0002      32  22  30  12  28  16     13 17
0003      18  19  39  34  10  24      6 37
0004      14  21  18   5  30   6     19  7
0005      35   1  15  44   6  39     37  8
0006       5  23   6  38  21  15      8 10
0007      35  15   5   3  42  25     41  9
0008      32  31   3  22  10  39     33  1
0009       3  12   8  17  13  10     16 42
0010       1   5  18  35  24  31     40 32
0011      20  16  33  28  15  44     26 38
0012      39  45  42  35  30   8     15 32
0013      18  33  25   3  27   1     41 21
0014       3  40  20  13   1  43     35 19
0015      40  20   1   4   2  13     22 29
0016       2  17  26  18  14   7     24  6
0017       7  33  45   1  18   9      5 10
0018      28  13  11  33  41  22     20 23
0019      36  31  12  29  43   3     15 13
0020      12   1  43  21  26  37     24 13
0021      19  30   5  12  16  20     35 10
0022      24  13  15   8   5   6     11 45
0023      18  20  24   9  22  37     17 12
0024       4  30  15  44  17  27     20 12
0025      24  23  36   6  32  27     11 29
0026      13   5  12  44   4  31      6 27
0027      12  17  10  18  15   4     35 44
0028      37  16  17  24  30  43     28 12
0029      27  14  35   8  21  39     41 43
0030      37  36   5  27   2  45     40 43
0031      18  41  36  43  17   5     33  4
0032      42  36  29  23   5  35     12 31
0033      35  20   3  43  26  45     11  2
0034      23  40  31  16  34  29     45 33
0035       4  32   1   8  33  31     34 36
0036      39  16  22  32   2  27     31 40
0037      35  24   5   8  14  34      1 13
0038       3  45  40   6  41  44     33 15
0039      35  15  45  38  27  13      8 17
0040      37  45  13   1  44  16      6 42
0041      31  18  21  30  41  16      3 44
0042       4   5   1  25  32   8     18 19
0043      30   7  24  42   5  26     10 17
0044      22  11  26  17  36  43     34 33
0045      40   8  16   6  45  42     19 30
0046      45  15   6   7  11  13     18 14
0047      32  12  30  45   3   9     21 27
0048      29  42  30  16  13  26     25 12
0049       2  15  27  22  35  42     13 10
0050      43  40  41  38  11  13     16 42
0051       4  41  40  18  24  20     30 42
0052      42  29  28   2  38  31     13 12
0053       7  34  23  24  12  26      8 38
0054      11  27   1  29   8  24     37 40
0055       8  10  38  30  19   6     43 18
0056       4  38  11  33   2  14     23 29
0057      36  27  17  38   6   3     40 44
0058      20  22  31  16  44  23     34 11
0059      34   1  29  18  39  14     12 26
0060      42  34  32   9  28  37     43 41
0061      43  23   9   4  42  28     39 29
0062      11  39  37  22   3  40     43  1
0063       5  40  31  23  45   1      3 12
0064      40  45  31  16  34  28     26 10
0065      27  14   1  42  45  44      4 37
0066      15  27  38   9  42  24     17 40
0067      45   1  23  14  32  18     29 11
0068      22   6  18  45  43  32     17 37
0069       8  22  17  31  11  24     12 18
0070      34   3  26   6  27   2     35 33
0071       3  11  17   4   6  25     31 30
0072      33   9  21  11  43  18     30 19
0073      23  12  33  25  36  13     31 10
0074      36  20   9  43   8   1      5 33
0075       8  44  37  12  24   4     28 16
0076      35  39  33  23  25  44     16 30
0077      11  29  18  26   9  36      1 14
0078      21  38  22  34  33  28     18  3
0079      20  40   2   6  18  42     30 45
0080      34  45  30  35  19   1     27 43
0081      23  32  12  17  41  35     44 34
0082      12  23   7   9  10  42     31 41
0083      29  28  19   2  12   1     17 23
0084      24  37  23   1   3   6     43 26
0085      24  19  13  17   5  22     31 35
0086       8  14  37  17  10  12     22 31
0087       1  24   8   9  12   3     18 20
0088      24  25  21  11   4  39     41 20
0089      17  39  41  32  29   6     40  4
0090      30  26  29  33   9  18     42 24
0091       7  24  26  17   3  13     34 21
0092      38  23   7  36  13  24     18 34
0093      23  13  41  43  32  16     11 15
0094      32  40  18   1  12  25     24 34
0095      17  42  12  41  18  20      7 24
0096       6   3  17   5  33  30     32 36
0097      15  37   2  44  19  39      4 22
0098      45  16  21  34  27  36     30  9
0099      27  31   1  45   9   7     16 38
0100       7  17  25  19  41   2     30 36
0101       9  44  14   4  25  39     10 26
0102      32  30  13  44  26  16      3 41
0103       6  34  26  36  20   3     43 38
0104       8  29  24  12   1  22      3 38
0105       4  25  10  11  41   5     32 26
0106      39  21  12  13  30  17      5 16
0107      45  38  23  36   5  11     12  4
0108      30  13  17  45  39  24      1  9
0109       8  22  12  31  13  20     26  5
0110      18  28  27  21  36   1     32 37
0111      14  30  42  44  29   2     43 34
0112      39  10  11  41  33  14      9 40
0113      38  24  14  11  45  35      1 41
0114      16   3  44  30  22   9     37 34
0115       2  26  41  19   6  29     45 44
0116       7  24  34  25   2  42     12 22
0117      35   3  13  37  39  19     24 21
0118      22  17  10  26  18   6      1 40
0119      19  22  14  45  32  13     10  2
0120      33   5  29  43  36   4     35  3
0121      13  38   1  29  10  26     35  6
0122      40   1  29  24  15  19     18 12
0123      20  33  34   1  17   4     21  8
0124      42  36  35  29  15  44     22 41
0125      11  35  18  30  33   2     23 44
0126      37  34  39  13   7  35     26 19
0127      14  13  39  36  45  11     17 35
0128      41  24   9  40   5  30     23 42
0129      41  36  45   8  30  23     10  3
0130      32  18  24   3  41  30     40 23
0131      13  38  37  31  39  45      3 44
0132      45  18  29   4  41  38     17 30
0133      38  24  30  22   2  12      8 18
