DNGN 65 42
16 29 1 2 1 1
17 28 1 4 2 1
17 29 2 1 1 2
18 22 1 2 2 1
18 23 2 4 2 1
18 24 2 4 1 1
18 27 1 3 4 1
18 28 4 1 4 4
18 29 4 1 3 1
18 30 3 1 1 1
19 19 1 4 2 1
19 20 2 2 1 1
19 22 1 1 1 2
19 23 1 4 1 4
19 24 1 2 1 4
19 25 1 4 4 1
19 26 4 4 4 1
19 27 4 4 1 3
20 19 1 1 4 4
20 20 4 4 3 2
20 21 3 1 4 1
20 22 4 1 4 1
20 23 4 1 2 4
20 24 2 2 2 2
20 25 2 4 1 4
20 26 1 4 4 4
20 27 4 1 1 4
21 20 1 4 1 4
21 24 1 3 4 2
21 25 4 1 1 4
21 26 1 4 1 4
22 20 1 3 1 4
22 24 1 2 1 3
22 25 1 2 4 1
22 26 4 1 1 4
23 18 1 4 4 1
23 19 4 4 2 1
23 20 2 1 4 3
23 21 4 1 1 1
23 24 1 3 2 2
23 25 2 1 1 2
24 18 1 1 4 4
24 19 4 1 4 4
24 20 4 1 4 1
24 21 4 1 4 1
24 22 4 4 1 1
24 24 1 4 1 3
25 22 1 1 4 4
25 23 4 2 4 1
25 24 4 1 1 4
25 28 1 1 3 1
25 29 3 4 1 1
26 23 1 1 3 2
26 24 3 2 1 1
26 29 1 4 1 4
27 20 2 4 2 1
27 21 2 2 2 1
27 22 2 4 4 1
27 23 4 4 4 1
27 24 4 4 4 2
27 25 4 4 1 1
27 29 1 4 1 4
28 20 1 1 1 4
28 21 1 4 1 2
28 22 1 2 4 4
28 23 4 4 4 4
28 24 4 4 4 4
28 25 4 1 4 4
28 26 4 1 3 1
28 27 3 2 1 1
28 29 1 4 1 4
29 20 1 2 4 1
29 21 4 4 4 4
29 22 4 2 1 2
29 23 1 4 4 4
29 24 4 1 1 4
29 26 1 3 4 1
29 27 4 1 4 2
29 28 4 1 2 1
29 29 2 3 1 4
30 17 1 4 1 1
30 19 1 2 4 1
30 20 4 1 1 2
30 21 1 1 1 4
30 22 1 2 2 2
30 23 2 2 1 4
30 26 1 4 1 3
30 29 1 4 4 3
30 30 4 4 1 1
31 16 1 4 3 1
31 17 3 2 1 4
31 18 1 4 4 1
31 19 4 1 1 2
31 22 1 3 1 2
31 23 1 1 1 2
31 26 1 1 4 4
31 27 4 4 1 1
31 29 1 1 4 4
31 30 4 4 4 4
31 31 4 1 1 1
31 34 1 4 1 1
32 16 1 2 1 4
32 17 1 4 4 2
32 18 4 1 1 4
32 22 1 1 3 3
32 23 3 1 4 1
32 24 4 1 4 1
32 25 4 1 4 1
32 26 4 4 1 1
32 27 1 4 1 4
32 28 1 4 1 1
32 29 1 2 2 1
32 30 2 4 1 4
32 33 1 4 3 1
32 34 3 1 1 4
33 11 1 1 4 2
33 12 4 2 4 1
33 13 4 1 1 1
33 16 1 1 4 2
33 17 4 1 3 4
33 18 3 2 1 1
33 26 1 1 4 4
33 27 4 1 1 4
33 28 1 1 4 4
33 29 4 1 1 2
33 30 1 4 1 4
33 33 1 4 1 4
34 11 1 4 2 1
34 12 2 2 4 2
34 13 4 1 4 1
34 14 4 1 3 1
34 15 3 4 1 1
34 18 1 4 1 2
34 30 1 4 1 4
34 32 1 4 4 1
34 33 4 1 1 4
35 11 1 1 4 4
35 12 4 3 1 2
35 13 1 4 1 1
35 15 1 1 4 4
35 16 4 4 4 1
35 17 4 1 2 1
35 18 2 1 1 4
35 30 1 1 2 4
35 31 2 4 3 1
35 32 3 2 3 4
35 33 3 2 1 1
36 12 1 2 4 3
36 13 4 1 2 4
36 14 2 1 1 1
36 16 1 3 1 4
36 31 1 1 1 4
36 32 1 1 1 2
36 33 1 1 1 2
37 12 1 4 1 2
37 16 1 4 4 3
37 17 4 4 1 1
38 12 1 1 1 4
38 15 1 4 4 1
38 16 4 1 4 4
38 17 4 1 1 4
39 15 1 1 2 4
39 16 2 1 2 1
39 17 2 1 4 1
39 18 4 2 1 1
39 19 1 2 4 1
39 20 4 2 1 1
40 16 1 4 1 1
40 17 1 2 3 1
40 18 3 1 4 2
40 19 4 1 1 2
40 20 1 3 1 2
41 16 1 3 4 4
41 17 4 2 1 2
41 19 1 4 4 1
41 20 4 4 1 3
42 14 1 4 1 1
42 16 1 4 4 3
42 17 4 4 4 2
42 18 4 1 4 1
42 19 4 1 1 4
42 20 1 2 1 4
43 14 1 1 4 4
43 15 4 2 4 1
43 16 4 1 4 4
43 17 4 2 1 4
43 20 1 1 4 2
43 21 4 1 1 1
44 13 1 4 2 1
44 14 2 4 2 1
44 15 2 1 4 2
44 16 4 1 4 1
44 17 4 1 4 2
44 18 4 1 1 1
45 13 1 1 1 4
45 14 1 1 4 4
45 15 4 1 4 1
45 16 4 1 4 1
45 17 4 1 4 1
45 18 4 1 1 1
27 19 4 1 2 1
27 18 4 1 4 1
27 17 4 1 4 1
27 16 4 1 4 1
27 15 4 1 4 1
27 14 4 1 4 1
27 13 4 1 4 1
27 12 4 1 4 1
27 11 1 4 4 1
28 11 1 4 1 4
29 11 1 4 1 4
30 11 1 4 1 4
31 11 1 4 1 4
32 11 1 2 1 4
